id,username,date_time,google,views,posts,userid,topic
204,Karthik Shashidhar,2015-05-04 23:00:01,https://groups.google.com/forum/#!topic/datameet/X5kzViRMJKs,12324,62,,"Shapefiles for ""complete"" India"
611,megha,2014-04-10 14:10:21,https://groups.google.com/forum/#!topic/datameet/AZrQAoeeDhU,556,47,,MP/MLA Shapes
1004,Srihari Srinivasan,2013-03-06 22:59:44,https://groups.google.com/forum/#!topic/datameet/paiEe9og9f4,288,35,,List of BMTC Bus stops
554,Nisha Thompson,2014-05-20 23:51:49,https://groups.google.com/forum/#!topic/datameet/bNbwXCvMcP8,42,34,103796204249260593038,Logo Contest Voting!
5,S Anand,2016-02-01 18:31:38,https://groups.google.com/forum/#!topic/datameet/21uKP0AzrjY,4783,29,108207362455575853987,PIN code geocoding
603,Siddarth Raman,2014-04-17 16:16:29,https://groups.google.com/forum/#!topic/datameet/yrL-oaiG3Gc,189,29,114955223441466544027,Parliamentary Constituency to Assembly Constituency to Ward linkages
965,Nisha,2013-04-15 09:44:21,https://groups.google.com/forum/#!topic/datameet/4sQ-IUjWBbU,51,29,,April's Bangalore DataMeet
1322,Gautam John,2012-04-14 09:49:50,https://groups.google.com/forum/#!topic/datameet/wFu4oS1xRsM,54,29,,I Change My City
1510,Arun Ganesh,2011-03-14 11:23:25,https://groups.google.com/forum/#!topic/datameet/yTKpLK6mtKs,14,29,,Licensing crowdourced data projects
47,Sharad Lele,2015-11-27 19:59:49,https://groups.google.com/forum/#!topic/datameet/gwy9PRgn8hE,183,27,,Census of India seems to have maps of everything!
